"first_order_month","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
2023-01-01,2823234.4,1839747.47,2200259.67,1304086.38,1923133.93,2329121.66,2120710.71,1313497.64,2500567.36,1514241.83,667097.97,1307864.81,1643194.9,986000.52,1161990.88,2276253.23,902733.56,1047314.67,1067219.52,1918824.28,1112837.59,934261.52,405843.55
2023-02-01,198728.45,126118.92,15457,19215.14,5998.6,6292,10593.92,31427.18,2308.7,6133.88,17139.5,38779.5,168595.13,18032.03,20730.48,22998.24,5511.98,14067.06,9152.55,14584.58,7017.6,4276.4,0
2023-03-01,16394.02,3014,23842,4106.77,675,28053.7,14131.58,38955.97,2419.15,17928.16,1733.63,38776.33,24733.5,10199.5,64018.19,4381.23,20718.18,0,25159.66,2742.35,0,0,0
2023-04-01,8172.3,2138.4,0,0,0,1926,0,0,0,0,0,0,0,6033.9,0,6033.9,0,0,0,0,0,0,0
2023-05-01,5978.42,763.13,2106.18,0,0,3666.9,1090.25,132.44,7754,7051.7,0,2821,644.5,321.42,321.42,0,1862.8,5086.12,350.8,0,0,0,0
2023-06-01,25430.18,0,1720.6,0,274.1,280,1965.6,0,4082.96,752.16,11700,0,0,282.06,0,1860.3,0,0,0,0,0,0,0
2023-07-01,25202.23,0,5314.06,1243.73,568.42,1634.4,0,105094.5,0,9046.51,84000,15465.5,0,259.43,51838.42,1159.41,1617.28,0,0,0,0,0,0
2023-08-01,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-01,15405.6,0,9401.85,0,9781.39,11592.36,15961.16,2169.6,17255.29,3579.6,7223.8,6283.32,1171.84,12433.09,724.5,0,0,0,0,0,0,0,0
2023-10-01,1497.9,899.59,0,0,13839.82,0,9.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-01,9691.3,7206.12,7424.8,11531.83,10179.54,1138.56,1726.95,1518.22,238.68,1535.33,395.06,154.07,973.5,0,0,0,0,0,0,0,0,0,0
2023-12-01,44.85,44.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,7053.57,1776.3,4069.78,15494.26,1862.32,16918.94,5555,14177.02,4522,16809.3,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-02-01,12171.82,100599.04,91640.96,93626.46,206006.92,126006.32,330762.8,0,183281.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-01,6148.31,17539.47,12639.51,10390.13,14133.14,14598.41,11040.44,14102.94,3847.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-01,58800,0,0,80777,43593,38484.5,30636,52348.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-01,909.6,18068.16,20694.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-06-01,35378.19,8218.5,15676,5640,9440.74,1180.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01,92.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-08-01,840,0,350,9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-09-01,16131.16,1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-01,783.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-11-01,2812.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
